100
10 100
20 110
30 120
40 130
50 140
60 150
70 160
80 170
90 180
100	190
110	200
120	210
130	220
140	230
150	240
160	250
170	260
180	270
190	280
200	290
210	300
220	310
230	320
240	330
250	340
260	350
270	360
280	370
290	380
300	390
310	400
320	410
330	420
340	430
350	440
360	450
370	460
380	470
390	480
400	490
410	500
420	510
430	520
440	530
450	540
460	550
470	560
480	570
490	580
500	590
510	600
520	610
530	620
540	630
550	640
560	650
570	660
580	670
590	680
600	690
610	700
620	710
630	720
640	730
650	740
660	750
670	760
680	770
690	780
700	790
710	800
720	810
730	820
740	830
750	840
760	850
770	860
780	870
790	880
800	890
810	900
820	910
830	920
840	930
850	940
860	950
870	960
880	970
890	980
900	990
910	1000
920	1010
930	1020
940	1030
950	1040
960	1050
970	1060
980	1070
990	1080
1000 1090
